address,lat,long,geometry,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"980 S ISABELLA RD, MOUNT PLEASANT, MI 48858",43.6262701,-84.7485539,"[-84.74855389999999, 43.62627010000001]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"1221 SOUTH DR, MOUNT PLEASANT, MI 48858",43.5993477,-84.7609728,"[-84.76097279999999, 43.5993477]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"801 E INDUSTRIAL AVE, MOUNT PLEASANT, MI 48858",43.6195262,-84.7663387,"[-84.76633869999999, 43.6195262]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"1011 INDUSTRIAL AVE, MOUNT PLEASANT, MI 48858",43.620081,-84.7679166,"[-84.76791659999999, 43.620081]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"2113 ENTERPRISE DR, MOUNT PLEASANT, MI 48858",43.6095196,-84.7291875,"[-84.7291875, 43.6095196]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"6828 Lea Pick Dr, MOUNT PLEASANT, MI 48804",43.6131839,-84.7102893,"[-84.7102893, 43.6131839]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"Mount Pleasant Maintenance Garage, MOUNT PLEASANT, MI 48858",43.5978075,-84.7675139,"[-84.7675139, 43.59780749999999]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"10550 COLEMAN ROAD, BEAL CITY, MI 48893",43.7557645,-85.0580028,"[-85.0580028, 43.7557645]","26","073","000100","26073000100","1",Census Tract 1,G5020,S,"278183674","2254174","+43.7733876","-084.9198778"
"2731 East Grass Lake Road, CLARE, MI 48617",43.7863453,-84.7921911,"[-84.7921911, 43.7863453]","26","073","000100","26073000100","1",Census Tract 1,G5020,S,"278183674","2254174","+43.7733876","-084.9198778"
"8507 S WINN RD, WINN, MI 48896",43.5198032,-84.9058953,"[-84.9058953, 43.51980320000001]","26","073","000300","26073000300","3",Census Tract 3,G5020,S,"279045463","723777","+43.5046203","-084.9075268"
